,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99977663101689,350.54086179340766,514.0153867773475,53.0,,,,,,,,,,
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,1806.0,2142.0,2144.0,2175.0,2196.0,2216.0,2218.0,2500.0,2503.0
2,2,3041.1809007690986,7.310885762477459,-0.07802363694164412,3144.6240092206585,-1.3674206943542384,0.25596196132301435,3184.9726263010075,1.6817994525292634,10.612423152877229,3229.688799030542,-1.3821977124588538,0.2366894763896482,3482.5753390998566,0.575255720608267,2.5479654008640567,0.5248486382246682,106.0,102.0,87.0,253.0,340.0,4.0,,,2.0,1.0,1.0,0.5,0.47337461134864783,0.22959063393805076,2.0,1.0,1.0,0.5,0.5321431638788033,0.22961701298153123,26.0,10.0,16.0,0.38461538461538464,1.4966745364220388,0.23337536370957682,2.0,1.0,1.0,0.5,0.3604844128129779,0.23379713818184794,5.0,4.0,1.0,0.8,,,,0.0,3038.0,3042.0,3144.0,3146.0,3175.0,3197.0,3229.0,3231.0,3479.0,3484.0
3,3,4044.008610527006,0.59412424092592,0.6433528679178846,4135.424660900143,-0.3327829855016507,0.8630425137309929,4180.123304500719,1.662168841346454,12.102949340760517,4223.150678199713,-0.21664963396675235,5.095930801728113,4491.842151111522,0.7908326809014044,2.5479654008640567,0.47913937597884154,91.0,89.0,92.0,267.0,359.0,2.0,1003.0,996.0,2.0,1.0,1.0,0.5,0.6984043807643924,0.2287375132505445,3.0,1.0,2.0,0.3333333333333333,0.3315230840824984,0.22560466842659296,26.0,9.0,17.0,0.34615384615384615,2.0602634630786647,0.22321055155526717,2.0,1.0,1.0,0.5,0.17184648746319287,0.2244644299420071,4.0,3.0,1.0,0.75,,,,0.0,4043.0,4045.0,4134.0,4137.0,4173.0,4197.0,4220.0,4226.0,4489.0,4493.0
4,4,4833.642153737583,1.9243357741162832,0.24445794896559633,5143.389274625329,-1.9187682659094807,0.23997550455893019,5185.109324191724,1.7423731047220994,11.37254634108785,5311.918585609076,-0.5281827908825455,0.1235030128619971,5486.424660900143,0.7700389634461252,2.5479654008640567,0.5047014759857696,308.0,306.0,172.0,174.0,346.0,2.0,790.0,1007.0,2.0,1.0,1.0,0.5,0.5214015603815303,0.22612012501834783,2.0,1.0,1.0,0.5,0.4676276774596476,0.23528184763923754,29.0,15.0,14.0,0.5172413793103449,1.9735415463582546,0.23291939415207785,2.0,1.0,1.0,0.5,0.44432775381627787,0.23192757394362234,2.0,1.0,1.0,0.5,,,,0.0,4833.0,4835.0,5141.0,5144.0,5170.0,5199.0,5311.0,5313.0,5485.0,5487.0
5,5,6866.18679021029,231.1717663100778,-0.053366211959923214,7154.111073129632,-0.49190648092269285,0.7642015510000408,7186.05391847724,1.8665541800417602,9.909629698802044,7262.0397762554685,-0.6993093655934525,0.05815010327886445,7494.184707543315,0.7851688267980754,2.5479654008640567,0.5305129136350507,289.0,286.0,110.0,235.0,345.0,3.0,2032.0,2000.0,2.0,1.0,1.0,0.5,0.4415379733518304,0.22814884113844208,2.0,1.0,1.0,0.5,0.4945872444396385,0.22812297601001486,25.0,13.0,12.0,0.52,1.9993608332954458,0.23150103280796472,2.0,1.0,1.0,0.5,0.4361019881906637,0.22804643579542314,5.0,1.0,4.0,0.2,,,,0.0,6864.0,6867.0,7153.0,7155.0,7173.0,7198.0,7261.0,7263.0,7493.0,7498.0
6,6,8051.67672131058,1.0512211442328558,0.37884306118207095,8142.474017195107,-0.37132425313403633,0.018295772437540325,8184.547965400854,1.7895490376358163,10.751300727345905,8225.988977063987,-0.5331538091985851,1.1022347636825343,8495.751191508316,0.7061277136938201,15.287792405184321,0.6018925232257486,87.0,85.0,90.0,275.0,365.0,2.0,1186.0,997.0,2.0,1.0,1.0,0.5,0.5436932169019308,0.22654848766460484,5.0,2.0,3.0,0.4,0.46101076483285625,0.22654848766460484,27.0,14.0,13.0,0.5185185185185185,1.8834761766971835,0.22654848766460484,4.0,2.0,2.0,0.5,0.4980514058625003,0.22654848766460484,31.0,24.0,7.0,0.7741935483870968,,,,0.0,8051.0,8053.0,8138.0,8146.0,8176.0,8198.0,8224.0,8228.0,8490.0,8503.0
7,7,8855.248091368612,0.8855923324689355,0.5115889425032488,9120.692420897687,-217.57826567964182,0.08878023296917222,9185.60271279885,1.8082483504730493,10.908880403543812,9216.334922213024,-0.492244859262671,2.5479654008640567,9494.424660900142,0.8549895614331501,2.5479654008640567,0.5327416468567344,266.0,264.0,97.0,287.0,384.0,2.0,803.0,1007.0,2.0,1.0,1.0,0.5,0.947154541113752,0.213485934852362,2.0,1.0,1.0,0.5,0.628641610626703,0.213485934852362,24.0,13.0,11.0,0.5416666666666666,1.895502497895357,0.213485934852362,2.0,1.0,1.0,0.5,1.2144010299737318,0.213485934852362,11.0,1.0,10.0,0.09090909090909091,,,,0.0,8854.0,8856.0,9120.0,9122.0,9173.0,9197.0,9215.0,9217.0,9493.0,9504.0
8,8,9870.737829381138,1.0615654775239713,0.25408987751828654,10151.303429351112,-0.35621051524027614,1.8327422974904393,10185.530322398814,1.7151970405221069,10.366741321539648,10211.193438647391,-0.6040380404768355,0.6273077119930812,10509.905536012728,0.8552966589127893,1.0344708755708971,0.5159932678870459,280.0,278.0,62.0,299.0,361.0,2.0,1016.0,995.0,2.0,1.0,1.0,0.5,0.6304550750592234,0.21641977398163845,2.0,1.0,1.0,0.5,0.4042067155345445,0.21684198156586906,26.0,11.0,15.0,0.4230769230769231,1.2512835138054512,0.21684198156586906,2.0,1.0,1.0,0.5,1.112918389296608,0.21684198156586906,2.0,1.0,1.0,0.5,,,,0.0,9870.0,9872.0,10150.0,10152.0,10175.0,10192.0,10210.0,10212.0,10509.0,10511.0
9,9,11052.958599569072,0.5770824347416275,0.19461479707576437,11127.575339099909,-0.7657387366884757,0.4900462157044158,11186.062381940166,1.7170261298160994,10.118247689317645,11214.424660900031,-0.579401518007206,2.5479654008640504,11516.307379296071,1.4257726934843096,0.3467231671745862,0.49191675980412697,74.0,72.0,89.0,302.0,391.0,2.0,1182.0,1001.0,2.0,1.0,1.0,0.5,0.5899886708685516,0.24004298707082905,3.0,2.0,1.0,0.6666666666666666,0.5367589902508936,0.23662671418484052,20.0,11.0,9.0,0.55,1.8584039853050451,0.2394036648511478,3.0,2.0,1.0,0.6666666666666666,1.1651830264778358,0.2378695954175539,2.0,1.0,1.0,0.5,,,,0.0,11052.0,11054.0,11126.0,11129.0,11178.0,11195.0,11212.0,11215.0,11515.0,11517.0
10,10,11847.575339112098,1.6661831785543184,0.3510807156198218,12151.422872205701,-1.7842472420384754,0.2651417299244322,12185.977793078016,1.6881447650861805,10.841973444305493,12215.984644012231,-0.5340572556673355,4.212777699562449,12475.150678199714,0.6758599347258335,5.095930801728113,0.5610416807922745,304.0,301.0,68.0,260.0,328.0,3.0,795.0,999.0,3.0,2.0,1.0,0.6666666666666666,0.609562099788967,0.2250724165937916,2.0,1.0,1.0,0.5,0.40232077302343383,0.22230532508725231,25.0,14.0,11.0,0.56,1.8139545635592427,0.22263641739477283,4.0,2.0,2.0,0.5,1.445022961740781,0.22408487541607916,10.0,7.0,3.0,0.7,,,,0.0,11846.0,11849.0,12150.0,12152.0,12172.0,12196.0,12214.0,12218.0,12474.0,12478.0
