cycle,r_squared,p_center,p_height,p_width,p_fwhm,p_rise_time,p_decay_time,p_rise_decay_symmetry,p_sharpness,p_on,p_off,q_center,q_height,q_width,q_fwhm,q_rise_time,q_decay_time,q_rise_decay_symmetry,q_sharpness,q_on,q_off,r_center,r_height,r_width,r_fwhm,r_rise_time,r_decay_time,r_rise_decay_symmetry,r_sharpness,r_on,r_off,s_center,s_height,s_width,s_fwhm,s_rise_time,s_decay_time,s_rise_decay_symmetry,s_sharpness,s_on,s_off,t_center,t_height,t_width,t_fwhm,t_rise_time,t_decay_time,t_rise_decay_symmetry,t_sharpness,t_on,t_off,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval
0,0.993029884417086,1767.5287792405181,4534.6250085855345,16.816571645702737,48.0,21.0,27.0,0.4375,0.013052235111460798,1748.0,1795.0,1878.1591487166536,-3180.2566462049163,6.539777862217747,19.0,12.0,7.0,0.631578947368421,-0.15443595588373113,1866.0,1885.0,1911.9615356191819,48050.047652351896,10.213775581747527,26.0,13.0,13.0,0.5,0.0443083845269832,1899.0,1925.0,1941.3205425597698,-9929.459675985921,7.4740318425345675,19.0,7.0,12.0,0.3684210526315789,-0.1207431894406727,1934.0,1953.0,2133.9424415189637,9566.907259812824,33.63314329140555,86.0,47.0,39.0,0.5465116279069767,0.004484563201080865,2087.0,2173.0,118.0,71.0,87.0,220.0,307.0,47.0,,
1,0.9908771814724906,2574.6986436005755,5552.289386081913,18.68507960633642,54.0,22.0,32.0,0.4074074074074074,0.00974289134155072,2553.0,2607.0,2684.509593080172,-1723.7383149603909,5.605523881900925,13.0,8.0,5.0,0.6153846153846154,-0.31330603855975686,2677.0,2690.0,2717.5914436973017,47614.69218884421,10.185157177145879,25.0,13.0,12.0,0.52,0.04423090367493192,2705.0,2730.0,2746.490924051,-9640.508954740633,6.539777862217747,18.0,6.0,12.0,0.3333333333333333,-0.1332056443315055,2740.0,2758.0,2937.857509338935,10591.244493700598,34.56739727172237,88.0,48.0,40.0,0.5454545454545454,0.005164073174503315,2890.0,2978.0,124.0,70.0,81.0,220.0,301.0,54.0,807.0,806.0
2,0.9901642127512668,4860.698643600575,4303.717822200297,18.6850796062633,50.0,22.0,28.0,0.44,0.008882153231342685,4839.0,4889.0,4965.284920007991,-2755.5919122146383,5.605523881900925,17.0,11.0,6.0,0.6470588235294118,-0.18064073379681972,4954.0,4971.0,4998.328971289082,47202.03425705166,10.022795831993045,26.0,13.0,13.0,0.5,0.044647288256569904,4986.0,5011.0,5027.702139558614,-10672.824971782406,6.539777862217747,19.0,7.0,12.0,0.3684210526315789,-0.10718887002078668,5021.0,5040.0,5220.112305879022,9427.79551150523,31.764635330771913,84.0,47.0,37.0,0.5595238095238095,0.005382111117533957,5173.0,5257.0,115.0,65.0,86.0,217.0,303.0,50.0,2286.0,2281.0
3,0.9927824780112251,5640.613711420547,4401.083758124064,16.464744860129386,46.0,21.0,25.0,0.45652173913043476,0.010898878948618414,5620.0,5666.0,5745.328909728321,-2700.1366528517733,5.605523881900925,17.0,11.0,6.0,0.6470588235294118,-0.18606845120529283,5734.0,5751.0,5778.244411441589,47483.54615635118,10.037611963556326,26.0,13.0,13.0,0.5,0.0445545787930867,5765.0,5791.0,5807.4054747397995,-9537.247092191008,6.539777862217747,17.0,6.0,11.0,0.35294117647058826,-0.12757093250850815,5801.0,5818.0,5994.51778061882,9511.11673611094,38.30441319298966,93.0,49.0,44.0,0.5268817204301075,0.004755113660750762,5946.0,6039.0,114.0,68.0,84.0,221.0,305.0,46.0,780.0,780.0
4,0.9866883864323885,7899.698643600575,5139.906757978482,18.68507960633642,55.0,22.0,33.0,0.4,0.011262061625424263,7878.0,7933.0,8006.424660900143,-1907.135138069802,4.671269901584105,13.0,8.0,5.0,0.6153846153846154,-0.27459800766815345,7998.0,8011.0,8039.258641607695,47702.36281929981,10.338019081368866,26.0,13.0,13.0,0.5,0.04288471253435744,8026.0,8052.0,8068.737876014369,-9709.22303401913,6.539777862217747,18.0,7.0,11.0,0.3888888888888889,-0.11883424345444729,8062.0,8080.0,8260.112305879022,10442.598094282013,31.764635330771913,85.0,48.0,37.0,0.5647058823529412,0.005706114629299613,8212.0,8297.0,120.0,65.0,82.0,217.0,299.0,55.0,2259.0,2261.0
5,0.9891716820725781,8727.104118340372,2463.3923906917935,12.145301744094425,40.0,14.0,26.0,0.35,0.028765865857000337,8713.0,8753.0,8836.40547473993,-3717.8928377977486,6.539777862217747,23.0,15.0,8.0,0.6521739130434783,-0.1228051103510767,8821.0,8844.0,8870.170929443928,47520.457191679765,9.946197690772214,26.0,13.0,13.0,0.5,0.04490227942539193,8857.0,8883.0,8899.937347820593,-10625.95010922377,6.539777862216871,19.0,7.0,12.0,0.3684210526315789,-0.10463402937078319,8893.0,8912.0,9090.942441518966,9689.074167367435,33.63314329132098,85.0,46.0,39.0,0.5411764705882353,0.005887456138538572,9045.0,9130.0,108.0,68.0,91.0,218.0,309.0,40.0,828.0,831.0
6,0.9926022785620083,9574.613711420545,4270.532167819988,17.750825626019594,48.0,21.0,27.0,0.4375,0.009187255829642783,9554.0,9602.0,9680.515170469,-2766.535389359788,6.539777862217747,18.0,12.0,6.0,0.6666666666666666,-0.1878317505606018,9669.0,9687.0,9714.204451298834,48382.472856472115,10.126731936455526,26.0,13.0,13.0,0.5,0.04415637736891476,9701.0,9727.0,9743.470402951423,-9680.064746910026,6.539777862217747,18.0,6.0,12.0,0.3333333333333333,-0.12698064846782306,9737.0,9755.0,9933.772577158907,10000.074041655022,35.50165125203919,88.0,47.0,41.0,0.5340909090909091,0.005598150750813791,9887.0,9975.0,115.0,67.0,86.0,220.0,306.0,48.0,847.0,844.0
7,,,,,,,,,,,10037.0,,,,,,,,,10357.0,10535.0,,,,,,,,,10548.0,10574.0,,,,,,,,,10583.0,10605.0,,,,,,,,,10746.0,10810.0,,,,,,,,
8,0.8197718214218049,11783.961628076568,3352.6640697678918,18.345350886228204,50.0,24.0,26.0,0.48,0.012438678831291156,11760.0,11810.0,12275.980813839913,-10288.539360046536,11.21104776379114,444.0,431.0,13.0,0.9707207207207207,-0.036005505508679043,11845.0,12289.0,12311.517152718112,40579.001651872124,9.501912199438294,23.0,12.0,11.0,0.5217391304347826,0.051688294175339315,12300.0,12323.0,12341.764389620064,-17651.531047548524,8.408285822672202,46.0,10.0,36.0,0.21739130434782608,-0.058996186535284365,12332.0,12378.0,12533.641085119698,2648.758782155403,12.230233924147486,38.0,21.0,17.0,0.5526315789473685,0.02403325690511779,12513.0,12551.0,85.0,35.0,533.0,173.0,706.0,50.0,2213.0,2597.0
9,0.9932524906162542,13152.613711420545,4425.572232355555,17.750825626019594,50.0,21.0,29.0,0.42,0.010865528293613771,13132.0,13182.0,13256.5945252602,-2912.1930410712594,6.539777862217747,17.0,11.0,6.0,0.6470588235294118,-0.19452057681062399,13246.0,13263.0,13289.785710431659,48328.049090721855,10.187577093716214,26.0,13.0,13.0,0.5,0.04446417051283031,13277.0,13303.0,13319.522908208632,-10218.314716057203,7.4740318425345675,20.0,8.0,12.0,0.4,-0.10418680487889131,13312.0,13332.0,13510.772577158907,9896.564379946916,35.50165125203919,88.0,46.0,42.0,0.5227272727272727,0.0051665193257743845,13465.0,13552.0,114.0,64.0,86.0,220.0,306.0,50.0,1365.0,978.0
10,,,,,,,,,,,13538.0,,,,,,,,,13569.0,14028.0,,,,,,,,,14039.0,14063.0,,,,,,,,,14071.0,14142.0,,,,,,,,,14265.0,14283.0,,,,,,,,
11,0.9877160410219373,14932.27398270043,2958.224358426783,14.013809704752314,47.0,16.0,31.0,0.3404255319148936,0.01932317809242924,14916.0,14963.0,15038.404927565554,-4926.212710378322,6.539777862217747,18.0,11.0,7.0,0.6111111111111112,-0.1305258931211631,15027.0,15045.0,15070.170951436781,46527.53274396208,9.937065063369824,26.0,13.0,13.0,0.5,0.0455882308876991,15057.0,15083.0,15100.540273337094,-10701.562996381796,7.4740318425345675,22.0,9.0,13.0,0.4090909090909091,-0.09035995394138646,15092.0,15114.0,15294.027373698993,9284.129208886301,32.69888931108873,86.0,48.0,38.0,0.5581395348837209,0.005199091170537309,15246.0,15332.0,111.0,64.0,87.0,218.0,305.0,47.0,1780.0,1780.0
12,0.8927279778447311,15294.876695499283,5416.597501691509,20.228720999817526,60.0,33.0,27.0,0.55,0.009403569815886689,15262.0,15322.0,15793.150678199714,-7530.439719210009,9.342539803167714,448.0,437.0,11.0,0.9754464285714286,-0.05411011461656924,15356.0,15804.0,15827.931647584346,42542.564282170235,9.70129775634417,24.0,12.0,12.0,0.5,0.04847579964743572,15816.0,15840.0,15858.764389620257,-15379.789623206407,8.408285822849269,36.0,10.0,26.0,0.2777777777777778,-0.06398935257772127,15849.0,15884.0,16048.386288579455,4130.274261509841,14.523402785007589,45.0,24.0,21.0,0.5333333333333333,0.01689129265159295,16024.0,16069.0,94.0,34.0,528.0,185.0,713.0,60.0,366.0,758.0
